config_id,mass,width_top,width_bottom,height,volume,filling_amount_ml,filling_amount_g,total_mass,fullness
1,2,72,43,82,179,0,0,2,0.00
2,2,72,43,82,179,0,0,2,0.00
3,2,72,43,82,179,0,0,2,0.00
4,2,72,43,82,179,0,0,2,0.00
5,2,72,43,82,179,0,0,2,0.00
6,2,72,43,82,179,0,0,2,0.00
7,2,72,43,82,179,0,0,2,0.00
8,2,72,43,82,179,0,0,2,0.00
9,2,72,43,82,179,0,0,2,0.00
10,2,72,43,82,179,125,101.25,103.25,69.83
11,2,72,43,82,179,125,101.25,103.25,69.83
12,2,72,43,82,179,125,101.25,103.25,69.83
13,2,72,43,82,179,125,101.25,103.25,69.83
14,2,72,43,82,179,125,101.25,103.25,69.83
15,2,72,43,82,179,125,101.25,103.25,69.83
16,2,72,43,82,179,125,101.25,103.25,69.83
17,2,72,43,82,179,125,101.25,103.25,69.83
18,2,72,43,82,179,125,101.25,103.25,69.83
19,10,97,61,121,497,0,0,10,0.00
20,10,97,61,121,497,0,0,10,0.00
21,10,97,61,121,497,0,0,10,0.00
22,10,97,61,121,497,0,0,10,0.00
23,10,97,61,121,497,0,0,10,0.00
24,10,97,61,121,497,0,0,10,0.00
25,10,97,61,121,497,0,0,10,0.00
26,10,97,61,121,497,0,0,10,0.00
27,10,97,61,121,497,0,0,10,0.00
28,10,97,61,121,497,400,324,334,80.48
29,10,97,61,121,497,400,324,334,80.48
30,10,97,61,121,497,400,324,334,80.48
31,10,97,61,121,497,400,324,334,80.48
32,10,97,61,121,497,400,324,334,80.48
33,10,97,61,121,497,400,324,334,80.48
34,10,97,61,121,497,400,324,334,80.48
35,10,97,61,121,497,400,324,334,80.48
36,10,97,61,121,497,400,324,334,80.48
37,9,99,65,136,605,0,0,9,0.00
38,9,99,65,136,605,0,0,9,0.00
39,9,99,65,136,605,0,0,9,0.00
40,9,99,65,136,605,0,0,9,0.00
41,9,99,65,136,605,0,0,9,0.00
42,9,99,65,136,605,0,0,9,0.00
43,9,99,65,136,605,0,0,9,0.00
44,9,99,65,136,605,0,0,9,0.00
45,9,99,65,136,605,0,0,9,0.00
46,9,99,65,136,605,450,364.5,373.5,74.38
47,9,99,65,136,605,450,364.5,373.5,74.38
48,9,99,65,136,605,450,364.5,373.5,74.38
49,9,99,65,136,605,450,364.5,373.5,74.38
50,9,99,65,136,605,450,364.5,373.5,74.38
51,9,99,65,136,605,450,364.5,373.5,74.38
52,9,99,65,136,605,450,364.5,373.5,74.38
53,9,99,65,136,605,450,364.5,373.5,74.38
54,9,99,65,136,605,450,364.5,373.5,74.38
