Team;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;overall;JFLT
test1;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;0.00;0.00;80.00;100.00
test2;100.00;0.00;0.00;0.00;0.00;0.00;0.00;39.00;0.00;0.00;2.78;0.00
test3;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;2.00;0.00
test4;100.00;100.00;0.00;0.00;0.00;0.00;0.00;39.00;0.00;0.00;9.56;100.00
test5;100.00;100.00;100.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;24.00;100.00
test6;0.00;0.00;100.00;100.00;100.00;100.00;0.00;71.91;0.00;0.00;18.88;0.00
test7;0.00;0.00;100.00;0.00;0.00;0.00;0.00;71.91;0.00;0.00;3.44;0.00
test8;0.00;100.00;0.00;0.00;0.00;0.00;0.00;42.83;0.00;0.00;2.86;0.00
test9;0.00;0.00;0.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;6.00;0.00
test10;0.00;0.00;100.00;100.00;100.00;100.00;100.00;71.91;0.00;0.00;34.31;0.00
test11;100.00;100.00;100.00;0.00;0.00;0.00;100.00;100.00;0.00;0.00;40.00;100.00
test12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
random1;32.01;26.68;21.72;24.62;20.87;36.24;16.73;42.83;0.00;0.00;22.17;9.60
random2;32.01;0.00;0.00;0.00;0.00;0.00;0.00;42.83;0.00;0.00;1.50;0.00
random3;0.00;0.00;0.00;0.00;0.00;0.00;16.73;0.00;0.00;0.00;0.33;0.00
random4;32.01;26.68;0.00;0.00;0.00;0.00;0.00;42.83;0.00;0.00;4.06;9.60
random5;32.01;26.68;21.72;0.00;0.00;0.00;0.00;42.83;0.00;0.00;7.39;9.60
random6;0.00;0.00;21.72;24.62;20.87;36.24;0.00;42.83;0.00;0.00;5.85;0.00
random7;0.00;0.00;21.72;0.00;0.00;0.00;0.00;42.83;0.00;0.00;1.29;0.00
random8;0.00;26.68;0.00;0.00;0.00;0.00;0.00;42.83;0.00;0.00;1.39;0.00
random9;0.00;0.00;0.00;24.62;20.87;36.24;0.00;0.00;0.00;0.00;1.63;0.00
random10;0.00;0.00;21.72;24.62;20.87;36.24;16.73;42.83;0.00;0.00;9.78;0.00
random11;32.01;26.68;21.72;0.00;0.00;0.00;16.73;42.83;0.00;0.00;11.20;9.60
average;32.01;26.68;31.89;66.27;50.95;65.87;30.03;50.34;0.00;0.00;35.40;9.60
